age,amneties,area,atmDistance,balconies,bathrooms,hospitalDistance,price,restrauntDistance,schoolDistance,shoppingDistance,status
0,0,1250,0,1,3,0,4000000,0,0,0,2
0,0,1500,0,1,3,0,4250000,0,0,0,2
0,0,1500,0,1,3,0,4250000,0,0,0,2
0,0,1650,0,1,3,0,5390000,0,0,0,2
0,2,2100,0.722318816640225,1,3,0.6759544249247429,8000000,0.728412236051722,0.7159551477696197,0.7545290675979964,2
0,0,1250,0,1,3,0,3500000,0,0,0,2
0,0,12,0.4093469913792175,0,0,0.35024583571684764,400000,0.3329988165514953,0.2660787529998102,0.35020981842344195,1
0,2,2100,0.722318816640225,1,3,0.6759544249247429,8000000,0.728412236051722,0.7159551477696197,0.7545290675979964,2
0,0,1000,0,1,3,0,3800000,0,0,0,2
0,0,1500,0,1,3,0,3800000,0,0,0,2
0,0,1500,0,1,3,0,4250000,0,0,0,2
